0.0,0.0,0.0,0.0
47.236389393461735,7941.355688215415,544.80854216029,969.6288271203257
134.63248294065073,8001.262907836921,1524.3812697982883,977.6204379052399
218.85909526079087,8781.282118096155,2432.0842654683624,1073.7014725320619
308.0194477414985,10195.420197867497,3366.4754455684906,1247.6235388260623
408.9432974746159,12233.525269942105,4406.9773044883605,1498.4616731475526
528.0822519865844,14943.188659287509,5625.169415428345,1832.4835139466747
672.1735613016779,18420.564762926002,7092.811589903916,2262.1260268113747
848.7823074260074,22807.082793865797,8888.005177702717,2805.7342675996315
1066.795372663648,28290.153832505035,11100.385829692448,3487.8588705897264
1336.9188046741315,35106.6035853856,13835.916879309818,4339.996534202309
1672.2170958525164,43547.855221581136,17221.631026782386,5401.711654173998
2088.7249764459857,53965.918404181066,21410.4967863324,6722.107714188795
2606.157141914825,66779.03157115495,26586.425511584293,8361.629107651876
3248.7369646185944,82475.34318011855,32969.25079843858,10394.168821081315
4046.159874262689,101612.27550635627,40819.272358917886,12909.432715013209
5034.698754043926,124808.16943758148,50440.62934545613,16015.461999329285
6258.445005192338,152721.48559682723,62182.32575155473,19841.13451951731
7770.656940831725,186011.37953676604,76435.15919411887,24538.343871582736
9635.153406427338,225272.25097591957,93622.1255173236,30283.38537720073
11927.641337759265,270934.6459234293,114179.17786538931,37276.85767727505
14736.798489063282,323126.9560104986,138522.72612992692,45741.13073704358
18164.846614842092,381498.56127541483,167000.36915345356,55914.175728669565
22327.251658118974,445017.4619505634,199822.6707014874,68038.38433224591
27351.091963552117,511775.2155908734,236977.08393216884,82343.06791535573
33371.574166757884,578857.2796683332,278131.0385662222,99019.82058394121
40526.197482222866,642359.8977545251,322539.66779353074,118191.06787071702
48946.23123574387,697640.0247439933,368983.0607327729,139874.0244927408
58745.53243069357,739852.3787890815,415764.44064651005,163944.80032647154
70007.30450544533,764744.4158200526,460798.5807226113,190109.92219762996
82770.1168094107,769558.3101995925,501803.9137041182,217893.99074011837
97015.18793865976,753779.5584078496,536581.9213345919,246651.28876988584
112657.3193768301,719449.1855160354,563332.028171279,275605.12727962877
129541.6925770093,670870.3996479791,580925.661173927,303912.08170361316
147447.9080591331,613761.9612793163,589065.1714248006,330741.1251261993
166101.3028580417,554128.7218379702,588285.8178506215,355352.9052371089
185190.12480337176,497212.1044299486,579808.7218798609,377164.19435132766
204386.03567164316,446805.9748157223,565296.3739753969,395786.9706746753
223364.98514436185,405039.3643642629,546581.4268192984,411038.65968322195
241825.7918165276,372549.0868338845,525430.809765921,422926.89853804593
259504.57827017445,348871.63525521895,503381.19160027336,431616.58787357365
276184.2081928206,332884.53468907764,481653.4880856951,437388.2802401604
291698.773210414,323183.77222030656,461133.99431775743,440595.7649672191
305933.8073573917,318349.9610792417,442400.88106508437,441628.2665013593
318823.23064186564,317103.92827390274,425774.86602451885,440880.083771002
330344.09105338866,318376.1282040463,411377.6482835333,438728.42254511826
340510.0733070612,321319.5476082177,399187.6388093261,435518.82796699903
349364.5564829254,325291.3037046897,389087.6205298705,431556.9424837546
356973.7941087332,329820.6273872708,380902.5357107888,427105.1100300639
363420.5972311024,334573.9627114809,374427.70156410756,422382.42858764925
368798.741689697,339322.7788916342,369448.77122946037,417567.07101602876
373208.1998646447,343916.4143666951,365755.0849028486,412799.95160652325
376751.2118702297,348260.42235950613,363148.0066729961,408189.05976752867
379529.1554977817,352299.9768822985,361445.62274448527,403813.98879780783
381640.14138417016,356007.54105397733,360484.9062000653,399730.35054357606
383177.2436489777,359373.9361076616,360122.1936474764,395973.88853510097
384227.2714127626,362402.0229477822,360232.5960246511,392564.1893493319
384869.98914850317,365102.33226621663,360708.78635100694,389507.9516756227
385177.7007484478,367490.110721373,361459.46894815797,386801.8115607174
385215.1213995598,369583.3703411813,362407.73160533933,384434.7461964763
385039.47142219404,371401.6294982084,363489.4075253657,382390.09184906166
384700.7362162068,372965.1158548021,364651.5213303296,380647.21751602413
384242.04582203063,374294.2664010632,365850.857555185,379182.8971609557
383700.13604415674,375409.4096941245,367052.66655649897,377972.42173468415
383105.86047812365,376330.55325051537,368229.50818728143,376990.48892659554
382484.72911944846,377077.22706827195,369360.22529515624,376211.9045700836
381857.4545720774,377668.3544457569,370429.0350868213,375612.12542039575
381240.49131061276,378122.135281865,371424.725171078,375167.66898051696
380646.55709654745,378455.9362743837,372339.94155122805,374856.4123646775
380085.12861804804,378686.18803435937,373170.5572045683,374657.7989464984
379562.90582333226,378828.29206351936,373915.11162563786,374552.9687563232
379084.24134627637,378896.54158848245,374574.3134709182,374524.8262432702
378651.532963397,378904.0600490868,375150.6000176789,374558.05705187423
378265.5782443178,378862.76010364946,375647.7484339224,374639.1038208944
377925.8915213705,378783.32472643815,376070.53481743764,374756.1096324087
377630.9840549235,378675.2106110407,376424.43761642417,374898.83656763146
377378.60884718085,378546.6728460472,376715.38243630156,375058.56581464503
377165.97198851546,378404.80880938284,376949.52542604785,375227.98488547467
376989.912730888,378255.6184880957,377133.0724839242,375401.06670704996
376847.054692287,378104.077980116,377272.1314843213,375572.94463315187
376733.9307203274,377954.2227518698,377372.5946528977,375739.78676956845
376647.0839959034,377809.2372690728,377440.04814442527,375898.6724048066
376583.14795109024,377671.54783842154,377479.7058327729,376047.4727901933
376538.9075193871,377542.91584248655,377496.36432209983,376184.7380146934
376511.3441408905,377424.5289712064,377494.37623944134,376309.5912710554
376497.6668180777,377317.08850835357,377477.6389719406,376421.6314114393
376495.3313676771,377220.8911870336,377449.5961623173,376520.8443420278
376502.0498473225,377135.904558992,377413.2494656937,376607.52350724675
